"Player","Team","Position","Type","Team","Pr","Grp/Max","Date (PST)","Gameweek"
"Kobbie Mainoo","MUN","M","Drop","mg","","","Tue Apr 16, 2024, 9:56AM","34"
"Chris Mepham","BOU","D","Claim","mg","1","1/99","Tue Apr 16, 2024, 9:54AM","34"
"Noni Madueke","CHE","F","Drop","mg","","","Tue Apr 16, 2024, 9:54AM","34"
"Joel Ward","CRY","D","Claim","sean","","","Tue Apr 16, 2024, 8:04AM","34"
"Vitaly Janelt","BRF","M","Drop","sean","","","Tue Apr 16, 2024, 8:04AM","34"
"Jefferson Lerma","CRY","M","Claim","mg","1","1/99","Tue Apr 16, 2024, 7:39AM","34"
"Joel Veltman","BHA","D","Drop","mg","","","Tue Apr 16, 2024, 7:39AM","34"
"Adam Smith","BOU","D","Claim","vu","","","Tue Apr 16, 2024, 7:03AM","34"
"Craig Dawson","WOL","D","Drop","vu","","","Tue Apr 16, 2024, 7:03AM","34"
"Toti","WOL","D","Claim","tj","","","Tue Apr 16, 2024, 7:03AM","34"
"Conor Bradley","LIV","D","Drop","tj","","","Tue Apr 16, 2024, 7:03AM","34"
"Milos Kerkez","BOU","D","Claim","tj","","","Tue Apr 16, 2024, 7:03AM","34"
"Giovanni Reyna","NOT","M","Claim","sean","","","Tue Apr 16, 2024, 7:00AM","34"
"Tomas Soucek","WHU","M","Drop","sean","","","Tue Apr 16, 2024, 7:00AM","34"
"Oliver McBurnie","SHU","F","Claim","sean","","","Tue Apr 16, 2024, 7:00AM","34"
"Jacob Bruun Larsen","BUR","F","Drop","sean","","","Tue Apr 16, 2024, 7:00AM","34"
"Ryan Christie","BOU","M","Claim","sean","","","Tue Apr 16, 2024, 7:00AM","34"
"Dejan Kulusevski","TOT","M","Drop","sean","","","Tue Apr 16, 2024, 7:00AM","34"
"Tyrick Mitchell","CRY","D","Claim","rafa","","","Tue Apr 16, 2024, 7:00AM","34"
"Jordan Ayew","CRY","F","Drop","rafa","","","Tue Apr 16, 2024, 7:00AM","34"
"Abdoulaye Doucoure","EVE","M","Claim","tj","","","Sun Apr 14, 2024, 11:45PM","33"
"Ben Godfrey","EVE","D","Drop","tj","","","Sun Apr 14, 2024, 11:45PM","33"
"Mark Flekken","BRF","G","Drop","sean","","","Sun Apr 14, 2024, 9:50PM","34"
"Jan-Paul van Hecke","BHA","D","Drop","tj","","","Sun Apr 14, 2024, 9:49PM","34"
"Noni Madueke","CHE","F","Claim","mg","1","1/99","Sun Apr 14, 2024, 10:49AM","33"
"Marc Cucurella","CHE","D","Drop","mg","","","Sun Apr 14, 2024, 10:49AM","33"
"Marc Cucurella","CHE","D","Claim","mg","1","1/99","Sun Apr 14, 2024, 10:49AM","33"
"Romeo Lavia","SOU/CHE","M","Drop","mg","","","Sun Apr 14, 2024, 10:49AM","33"
"Adam Wharton","CRY","M","Claim","sean","","","Sun Apr 14, 2024, 5:45AM","33"
"Jakub Kiwior","ARS","D","Drop","sean","","","Sun Apr 14, 2024, 5:45AM","33"
"Justin Kluivert","BOU","M","Claim","sean","","","Sat Apr 13, 2024, 8:33AM","33"
"Ryan Christie","BOU","M","Drop","sean","","","Sat Apr 13, 2024, 8:33AM","33"
"Joel Veltman","BHA","D","Claim","mg","1","1/99","Sat Apr 13, 2024, 6:05AM","33"
"Kristoffer Ajer","BRF","D","Drop","mg","","","Sat Apr 13, 2024, 6:05AM","33"
"Vitaly Janelt","BRF","M","Claim","sean","","","Sat Apr 13, 2024, 6:03AM","33"
"Oliver Arblaster","SHU","M","Drop","sean","","","Sat Apr 13, 2024, 6:03AM","33"
"Ben Godfrey","EVE","D","Claim","tj","","","Sat Apr 13, 2024, 3:41AM","33"
"Lewis Hall","CHE/NEW","D","Drop","tj","","","Sat Apr 13, 2024, 3:41AM","33"
"Kristoffer Ajer","BRF","D","Claim","mg","1","1/99","Sat Apr 13, 2024, 12:29AM","33"
"Oliver McBurnie","SHU","F","Drop","mg","","","Sat Apr 13, 2024, 12:29AM","33"
"Oliver McBurnie","SHU","F","Claim","mg","1","1/99","Sat Apr 13, 2024, 12:25AM","33"
"Kristoffer Ajer","BRF","D","Drop","mg","","","Sat Apr 13, 2024, 12:25AM","33"
"Kristoffer Ajer","BRF","D","Claim","mg","1","1/99","Sat Apr 13, 2024, 12:15AM","33"
"Nathan Collins","BRF","D","Drop","mg","","","Sat Apr 13, 2024, 12:15AM","33"
"Simon Adingra","BHA","F","Claim","katabe","","","Fri Apr 12, 2024, 10:39PM","33"
"Kurt Zouma","WHU","D","Claim","katabe","","","Fri Apr 12, 2024, 10:37PM","33"
"Lyle Foster","BUR","F","Claim","katabe","","","Fri Apr 12, 2024, 10:35PM","33"
"Bart Verbruggen","BHA","G","Claim","katabe","","","Fri Apr 12, 2024, 10:33PM","33"
"Djordje Petrovic","CHE","G","Drop","katabe","","","Fri Apr 12, 2024, 10:33PM","33"
"Djordje Petrovic","CHE","G","Claim","katabe","","","Fri Apr 12, 2024, 10:31PM","33"
"Mario Lemina","WOL","M","Claim","katabe","","","Fri Apr 12, 2024, 10:30PM","33"
"Mads Roerslev","BRF","D","Claim","katabe","","","Fri Apr 12, 2024, 10:27PM","33"
"Rico Lewis","MCI","D","Claim","katabe","","","Fri Apr 12, 2024, 10:26PM","33"
"Oliver Arblaster","SHU","M","Claim","sean","","","Fri Apr 12, 2024, 5:03PM","33"
"Emile Smith Rowe","ARS","M","Drop","sean","","","Fri Apr 12, 2024, 5:03PM","33"
"Nathan Collins","BRF","D","Claim","mg","1","1/99","Fri Apr 12, 2024, 8:47AM","33"
"Wesley Fofana","CHE","D","Drop","mg","","","Fri Apr 12, 2024, 8:47AM","33"
"Jacob Bruun Larsen","BUR","F","Claim","sean","","","Thu Apr 11, 2024, 6:37AM","33"
"Michail Antonio","WHU","F","Drop","sean","","","Thu Apr 11, 2024, 6:37AM","33"
"Wesley Fofana","CHE","D","Claim","mg","1","1/99","Wed Apr 10, 2024, 7:30AM","33"
"Reece James","CHE","D","Drop","mg","","","Wed Apr 10, 2024, 7:30AM","33"
"Romeo Lavia","SOU/CHE","M","Claim","mg","1","1/99","Wed Apr 10, 2024, 7:29AM","33"
"Dara O'Shea","BUR","D","Drop","mg","","","Wed Apr 10, 2024, 7:29AM","33"
"Dara O'Shea","BUR","D","Claim","mg","1","1/99","Tue Apr 9, 2024, 7:11PM","33"
"Stefan Ortega Moreno","MCI","G","Drop","mg","","","Tue Apr 9, 2024, 7:04PM","33"
"Ruben Dias","MCI","D","Claim","sean","","","Tue Apr 9, 2024, 9:02AM","33"
"Tyrick Mitchell","CRY","D","Drop","sean","","","Tue Apr 9, 2024, 9:02AM","33"
"Kobbie Mainoo","MUN","M","Claim","mg","1","1/99","Tue Apr 9, 2024, 7:29AM","33"
"Reece James","CHE","D","Claim","mg","1","1/99","Tue Apr 9, 2024, 7:23AM","33"
"Elijah Adebayo","LUT","F","Drop","mg","","","Tue Apr 9, 2024, 7:23AM","33"
"Stefan Ortega Moreno","MCI","G","Claim","mg","1","1/99","Tue Apr 9, 2024, 7:20AM","33"
"Lewis Hall","CHE/NEW","D","Claim","tj","","","Tue Apr 9, 2024, 7:03AM","33"
"Jose Sa","WOL","G","Claim","tj","","","Tue Apr 9, 2024, 7:03AM","33"
"Arijanet Muric","BUR","G","Drop","tj","","","Tue Apr 9, 2024, 7:03AM","33"
"Jan-Paul van Hecke","BHA","D","Claim","tj","","","Tue Apr 9, 2024, 7:02AM","33"
"Ivo Grbic","SHU","G","Claim","vu","","","Tue Apr 9, 2024, 7:00AM","33"
"Bart Verbruggen","BHA","G","Drop","vu","","","Tue Apr 9, 2024, 7:00AM","33"
"Craig Dawson","WOL","D","Claim","vu","","","Tue Apr 9, 2024, 7:00AM","33"
"Kristoffer Ajer","BRF","D","Drop","vu","","","Tue Apr 9, 2024, 7:00AM","33"
"Jean-Philippe Mateta","CRY","F","Claim","vu","","","Tue Apr 9, 2024, 7:00AM","33"
"Callum Hudson-Odoi","CHE/NOT","F","Drop","vu","","","Tue Apr 9, 2024, 7:00AM","33"
"Gustavo Hamer","SHU","M","Claim","vu","","","Tue Apr 9, 2024, 7:00AM","33"
"Oscar Bobb","MCI","M","Claim","katabe","","","Tue Apr 9, 2024, 7:00AM","33"
"David Raya","BRF/ARS","G","Claim","ben","","","Tue Apr 9, 2024, 7:00AM","33"
"Julio Enciso","BHA","F","Drop","ben","","","Tue Apr 9, 2024, 7:00AM","33"
"Odysseas Vlachodimos","NOT","G","Drop","katabe","","","Sun Apr 7, 2024, 2:37PM","33"
"Simon Adingra","BHA","F","Drop","katabe","","","Sun Apr 7, 2024, 12:34PM","33"
"Marc Cucurella","CHE","D","Drop","katabe","","","Sun Apr 7, 2024, 12:34PM","33"
"Mario Lemina","WOL","M","Drop","katabe","","","Sun Apr 7, 2024, 12:34PM","33"
"Dara O'Shea","BUR","D","Drop","mg","","","Sun Apr 7, 2024, 12:19PM","33"
"Jacob Murphy","NEW","M","Drop","mg","","","Sun Apr 7, 2024, 12:19PM","33"
"Marcus Tavernier","BOU","M","Drop","tj","","","Sun Apr 7, 2024, 12:03PM","33"
"Lyle Foster","BUR","F","Drop","katabe","","","Sun Apr 7, 2024, 12:02PM","33"
"Danilo","NOT","M","Drop","katabe","","","Sun Apr 7, 2024, 12:02PM","33"
"Lucas Digne","AVL","D","Drop","tj","","","Sun Apr 7, 2024, 12:02PM","33"
"Ezri Konsa","AVL","D","Drop","katabe","","","Sun Apr 7, 2024, 12:02PM","33"
"Lloyd Kelly","BOU","D","Drop","katabe","","","Sun Apr 7, 2024, 12:01PM","33"
"Neco Williams","NOT","D","Drop","vu","","","Sun Apr 7, 2024, 11:50AM","33"
"Neco Williams","NOT","D","Claim","vu","","","Sun Apr 7, 2024, 9:03AM","32"
"Radu Dragusin","TOT","D","Drop","vu","","","Sun Apr 7, 2024, 9:03AM","32"
"Radu Dragusin","TOT","D","Claim","vu","","","Sat Apr 6, 2024, 9:18AM","32"
"Reece James","CHE","D","Drop","vu","","","Sat Apr 6, 2024, 9:18AM","32"
"Odysseas Vlachodimos","NOT","G","Claim","katabe","","","Sat Apr 6, 2024, 9:08AM","32"
"Aaron Ramsdale","ARS","G","Drop","katabe","","","Sat Apr 6, 2024, 9:06AM","32"
"Aaron Ramsdale","ARS","G","Claim","katabe","","","Sat Apr 6, 2024, 9:03AM","32"
"David Raya","BRF/ARS","G","Drop","katabe","","","Sat Apr 6, 2024, 9:03AM","32"
"Danilo","NOT","M","Claim","katabe","","","Sat Apr 6, 2024, 8:49AM","32"
"Chris Mepham","BOU","D","Drop","katabe","","","Sat Apr 6, 2024, 6:27AM","32"
"Lloyd Kelly","BOU","D","Claim","katabe","","","Sat Apr 6, 2024, 6:27AM","32"
"Lucas Digne","AVL","D","Claim","tj","","","Sat Apr 6, 2024, 6:02AM","32"
"Ben Godfrey","EVE","D","Drop","tj","","","Sat Apr 6, 2024, 6:02AM","32"
"Vitinho","BUR","D","Drop","katabe","","","Sat Apr 6, 2024, 4:28AM","32"
"Micky van de Ven","TOT","D","Claim","sean","","","Sat Apr 6, 2024, 12:05AM","32"
"Rico Lewis","MCI","D","Drop","sean","","","Sat Apr 6, 2024, 12:05AM","32"
"Marc Cucurella","CHE","D","Claim","katabe","","","Fri Apr 5, 2024, 10:59PM","32"
"Simon Adingra","BHA","F","Claim","katabe","","","Fri Apr 5, 2024, 10:57PM","32"
"David Raya","BRF/ARS","G","Claim","katabe","","","Fri Apr 5, 2024, 10:51PM","32"
"Vitinho","BUR","D","Claim","katabe","","","Fri Apr 5, 2024, 10:49PM","32"
"Ezri Konsa","AVL","D","Claim","katabe","","","Fri Apr 5, 2024, 10:47PM","32"
"Chris Mepham","BOU","D","Claim","katabe","","","Fri Apr 5, 2024, 10:45PM","32"
"Ivo Grbic","SHU","G","Drop","katabe","","","Fri Apr 5, 2024, 10:30PM","32"
"Bart Verbruggen","BHA","G","Claim","vu","","","Fri Apr 5, 2024, 8:53PM","32"
"Jose Sa","WOL","G","Drop","vu","","","Fri Apr 5, 2024, 8:53PM","32"
"Elijah Adebayo","LUT","F","Claim","mg","1","1/99","Fri Apr 5, 2024, 11:51AM","32"
"Craig Dawson","WOL","D","Drop","mg","","","Fri Apr 5, 2024, 11:51AM","32"
"Craig Dawson","WOL","D","Claim","mg","1","1/99","Fri Apr 5, 2024, 11:37AM","32"
"Beto","EVE","F","Drop","mg","","","Fri Apr 5, 2024, 11:37AM","32"
"Reiss Nelson","ARS","F","Drop","katabe","","","Fri Apr 5, 2024, 10:59AM","32"
"Hwang Hee-Chan","WOL","F","Claim","ben","","","Fri Apr 5, 2024, 8:46AM","32"
"Emile Smith Rowe","ARS","M","Claim","sean","","","Fri Apr 5, 2024, 8:42AM","32"
"Josh Cullen","BUR","M","Drop","sean","","","Fri Apr 5, 2024, 8:42AM","32"
"Matty Cash","AVL","D","Drop","ben","","","Fri Apr 5, 2024, 8:41AM","32"
"Jean-Philippe Mateta","CRY","F","Drop","katabe","","","Fri Apr 5, 2024, 8:41AM","32"
"Lewis Hall","CHE/NEW","D","Drop","katabe","","","Fri Apr 5, 2024, 8:41AM","32"
"Mads Roerslev","BRF","D","Drop","katabe","","","Fri Apr 5, 2024, 8:41AM","32"
"Joel Ward","CRY","D","Drop","katabe","","","Fri Apr 5, 2024, 8:41AM","32"
"Dara O'Shea","BUR","D","Claim","mg","1","1/99","Fri Apr 5, 2024, 7:59AM","32"
"Jarell Quansah","LIV","D","Drop","mg","","","Fri Apr 5, 2024, 7:59AM","32"
"Ben Godfrey","EVE","D","Claim","tj","","","Fri Apr 5, 2024, 7:08AM","32"
"Ruben Dias","MCI","D","Drop","tj","","","Fri Apr 5, 2024, 7:08AM","32"
"Marcos Senesi","BOU","D","Claim","vu","","","Fri Apr 5, 2024, 7:03AM","32"
"Wesley Fofana","CHE","D","Drop","vu","","","Fri Apr 5, 2024, 7:03AM","32"
"Jose Sa","WOL","G","Claim","vu","","","Fri Apr 5, 2024, 7:02AM","32"
"Lukasz Fabianski","WHU","G","Drop","vu","","","Fri Apr 5, 2024, 7:02AM","32"
"Enzo Fernandez","CHE","M","Claim","tj","","","Fri Apr 5, 2024, 7:00AM","32"
"David Datro Fofana","CHE/BUR","F","Drop","tj","","","Fri Apr 5, 2024, 7:00AM","32"
"Joao Pedro","BHA","F","Claim","vu","","","Fri Apr 5, 2024, 7:00AM","32"
"Christopher Nkunku","CHE","F","Drop","vu","","","Fri Apr 5, 2024, 7:00AM","32"
"John McGinn","AVL","M","Claim","sean","","","Fri Apr 5, 2024, 7:00AM","32"
"Abdoulaye Doucoure","EVE","M","Drop","sean","","","Fri Apr 5, 2024, 7:00AM","32"
"James Trafford","BUR","G","Claim","zach","","","Fri Apr 5, 2024, 7:00AM","32"
"Joao Cancelo","MCI","D","Drop","zach","","","Fri Apr 5, 2024, 7:00AM","32"
"Wesley Fofana","CHE","D","Claim","vu","","","Thu Apr 4, 2024, 10:42AM","31"
"Konstantinos Tsimikas","LIV","D","Drop","vu","","","Thu Apr 4, 2024, 10:42AM","31"
"Jarell Quansah","LIV","D","Claim","mg","1","1/99","Thu Apr 4, 2024, 9:09AM","31"
"Tyrell Malacia","MUN","D","Drop","mg","","","Thu Apr 4, 2024, 9:09AM","31"
"Cédric Soares","ARS","D","Drop","katabe","","","Wed Apr 3, 2024, 11:24AM","31"
"Mads Roerslev","BRF","D","Claim","katabe","","","Wed Apr 3, 2024, 11:23AM","31"
"Reiss Nelson","ARS","F","Claim","katabe","","","Wed Apr 3, 2024, 11:13AM","31"
"Simon Adingra","BHA","F","Drop","katabe","","","Wed Apr 3, 2024, 11:13AM","31"
"Kristoffer Ajer","BRF","D","Claim","vu","","","Tue Apr 2, 2024, 10:15PM","31"
"Marc Cucurella","CHE","D","Drop","vu","","","Tue Apr 2, 2024, 10:15PM","31"
"Rico Lewis","MCI","D","Claim","sean","","","Tue Apr 2, 2024, 9:13PM","31"
"Nathan Ake","MCI","D","Drop","sean","","","Tue Apr 2, 2024, 9:13PM","31"
"Beto","EVE","F","Claim","mg","1","1/99","Tue Apr 2, 2024, 11:06AM","31"
"Joseph Gomez","LIV","D","Drop","mg","","","Tue Apr 2, 2024, 11:06AM","31"
"Cédric Soares","ARS","D","Claim","katabe","","","Tue Apr 2, 2024, 10:57AM","31"
"Joel Ward","CRY","D","Claim","katabe","","","Tue Apr 2, 2024, 10:52AM","31"
"Tyrell Malacia","MUN","D","Claim","mg","1","1/99","Tue Apr 2, 2024, 10:52AM","31"
"Tyler Adams","LEE/BOU","M","Drop","mg","","","Tue Apr 2, 2024, 10:52AM","31"
"Chris Richards","CRY","D","Drop","katabe","","","Tue Apr 2, 2024, 10:51AM","31"
"Chris Mepham","BOU","D","Drop","katabe","","","Tue Apr 2, 2024, 10:51AM","31"
"Lyle Foster","BUR","F","Claim","katabe","","","Tue Apr 2, 2024, 10:50AM","31"
"Lewis Hall","CHE/NEW","D","Claim","katabe","","","Tue Apr 2, 2024, 10:36AM","31"
"Ivo Grbic","SHU","G","Claim","katabe","","","Tue Apr 2, 2024, 9:08AM","31"
"Djordje Petrovic","CHE","G","Drop","katabe","","","Tue Apr 2, 2024, 9:08AM","31"
"Josh Cullen","BUR","M","Claim","sean","","","Tue Apr 2, 2024, 7:56AM","31"
"Chris Wood","NOT","F","Claim","sean","","","Tue Apr 2, 2024, 7:51AM","31"
"Wilson Odobert","BUR","F","Drop","sean","","","Tue Apr 2, 2024, 7:51AM","31"
"Kyle Walker","MCI","D","Claim","mg","1","1/99","Tue Apr 2, 2024, 7:22AM","31"
"Enzo Fernandez","CHE","M","Drop","mg","","","Tue Apr 2, 2024, 7:22AM","31"
"Lukasz Fabianski","WHU","G","Claim","vu","","","Tue Apr 2, 2024, 7:10AM","31"
"Jose Sa","WOL","G","Drop","vu","","","Tue Apr 2, 2024, 7:10AM","31"
"Konstantinos Tsimikas","LIV","D","Claim","vu","","","Tue Apr 2, 2024, 7:09AM","31"
"Tyler Adams","LEE/BOU","M","Claim","mg","3","1/99","Tue Apr 2, 2024, 7:00AM","31"
"Joao Pedro","BHA","F","Drop","mg","","","Tue Apr 2, 2024, 7:00AM","31"
"Arijanet Muric","BUR","G","Claim","tj","","","Tue Apr 2, 2024, 7:00AM","31"
"Caoimhin Kelleher","LIV","G","Drop","tj","","","Tue Apr 2, 2024, 7:00AM","31"
"Jacob Murphy","NEW","M","Claim","mg","1","1/99","Tue Apr 2, 2024, 7:00AM","31"
"Calvin Bassey","FUL","D","Drop","mg","","","Tue Apr 2, 2024, 7:00AM","31"
"Brennan Johnson","NOT/TOT","F","Claim","vu","","","Tue Apr 2, 2024, 7:00AM","31"
"Timothy Castagne","LEI/FUL","D","Drop","vu","","","Tue Apr 2, 2024, 7:00AM","31"
"Manuel Akanji","MCI","D","Claim","rafa","","","Tue Apr 2, 2024, 7:00AM","31"
"Harry Toffolo","NOT","D","Drop","rafa","","","Tue Apr 2, 2024, 7:00AM","31"
"Leandro Trossard","ARS","M","Claim","katabe","","","Tue Apr 2, 2024, 7:00AM","31"
"Harvey Barnes","NEW","M","Claim","tj","","","Tue Apr 2, 2024, 7:00AM","31"
"Joao Gomes","WOL","M","Drop","tj","","","Tue Apr 2, 2024, 7:00AM","31"
"Axel Disasi","CHE","D","Drop","katabe","","","Sun Mar 31, 2024, 7:06PM","31"
"Youri Tielemans","AVL","M","Drop","katabe","","","Sun Mar 31, 2024, 7:06PM","31"
"Mohamed Elneny","ARS","M","Drop","katabe","","","Sun Mar 31, 2024, 7:05PM","31"
"Sasa Lukic","FUL","M","Drop","katabe","","","Sun Mar 31, 2024, 7:05PM","31"
"Konstantinos Tsimikas","LIV","D","Drop","sean","","","Sun Mar 31, 2024, 12:29PM","31"
"Mohamed Elneny","ARS","M","Claim","katabe","","","Sun Mar 31, 2024, 8:26AM","30"
"Sergio Gomez","MCI","D","Drop","katabe","","","Sun Mar 31, 2024, 8:19AM","30"
"Sergio Gomez","MCI","D","Claim","katabe","","","Sun Mar 31, 2024, 8:14AM","30"
"Leandro Trossard","ARS","M","Drop","katabe","","","Sun Mar 31, 2024, 8:14AM","30"
"Valentino Livramento","NEW","D","Drop","vu","","","Sat Mar 30, 2024, 3:12PM","31"
"Sasa Lukic","FUL","M","Claim","katabe","","","Sat Mar 30, 2024, 7:07AM","30"
"Harry Wilson","FUL","M","Drop","katabe","","","Sat Mar 30, 2024, 7:07AM","30"
"Callum Hudson-Odoi","CHE/NOT","F","Claim","vu","","","Sat Mar 30, 2024, 7:03AM","30"
"Brennan Johnson","NOT/TOT","F","Drop","vu","","","Sat Mar 30, 2024, 7:03AM","30"
"Marc Cucurella","CHE","D","Claim","vu","","","Sat Mar 30, 2024, 6:59AM","30"
"Kieran Tierney","ARS","D","Drop","vu","","","Sat Mar 30, 2024, 6:59AM","30"
"Valentino Livramento","NEW","D","Claim","vu","","","Sat Mar 30, 2024, 4:41AM","30"
"Marc Cucurella","CHE","D","Drop","vu","","","Sat Mar 30, 2024, 4:41AM","30"
"Joao Pedro","BHA","F","Claim","mg","1","1/99","Sat Mar 30, 2024, 12:15AM","30"
"Sasa Lukic","FUL","M","Drop","mg","","","Sat Mar 30, 2024, 12:15AM","30"
"Youri Tielemans","AVL","M","Claim","katabe","","","Sat Mar 30, 2024, 12:13AM","30"
"Djordje Petrovic","CHE","G","Claim","katabe","","","Sat Mar 30, 2024, 12:08AM","30"
"Chris Richards","CRY","D","Claim","katabe","","","Sat Mar 30, 2024, 12:05AM","30"
"Ruben Dias","MCI","D","Claim","tj","","","Fri Mar 29, 2024, 11:36PM","30"
"Marcos Senesi","BOU","D","Drop","tj","","","Fri Mar 29, 2024, 11:36PM","30"
"Aaron Wan-Bissaka","MUN","D","Claim","ben","","","Fri Mar 29, 2024, 8:28PM","30"
"Lewis Cook","BOU","M","Claim","ben","","","Fri Mar 29, 2024, 8:20PM","30"
"Marc Cucurella","CHE","D","Claim","vu","","","Fri Mar 29, 2024, 8:12PM","30"
"Craig Dawson","WOL","D","Drop","vu","","","Fri Mar 29, 2024, 8:12PM","30"
"Konstantinos Tsimikas","LIV","D","Claim","sean","","","Fri Mar 29, 2024, 7:26AM","30"
"Jan-Paul van Hecke","BHA","D","Drop","sean","","","Fri Mar 29, 2024, 7:26AM","30"
"Nathan Ake","MCI","D","Claim","sean","","","Fri Mar 29, 2024, 7:22AM","30"
"Kyle Walker","MCI","D","Drop","sean","","","Fri Mar 29, 2024, 7:22AM","30"
"Jefferson Lerma","CRY","M","Drop","rafa","","","Tue Mar 26, 2024, 8:35PM","30"
"Joseph Gomez","LIV","D","Claim","mg","1","1/99","Tue Mar 26, 2024, 4:11PM","30"
"Joao Pedro","BHA","F","Drop","mg","","","Tue Mar 26, 2024, 4:11PM","30"
"Michail Antonio","WHU","F","Claim","sean","","","Tue Mar 26, 2024, 11:05AM","30"
"Chris Wood","NOT","F","Drop","sean","","","Tue Mar 26, 2024, 11:05AM","30"
"Harry Wilson","FUL","M","Claim","katabe","","","Sun Mar 24, 2024, 7:26AM","30"
"Simon Adingra","BHA","F","Claim","katabe","","","Sun Mar 24, 2024, 7:23AM","30"
"Jean-Philippe Mateta","CRY","F","Claim","katabe","","","Sun Mar 24, 2024, 7:22AM","30"
"Chris Mepham","BOU","D","Claim","katabe","","","Sun Mar 24, 2024, 7:12AM","30"
"Craig Dawson","WOL","D","Claim","vu","","","Sat Mar 23, 2024, 10:19AM","30"
"Willy Boly","NOT","D","Drop","vu","","","Sat Mar 23, 2024, 10:19AM","30"
"Joao Pedro","BHA","F","Claim","mg","1","1/99","Sat Mar 23, 2024, 8:15AM","30"
"Jamaal Lascelles","NEW","D","Drop","mg","","","Sat Mar 23, 2024, 8:15AM","30"
"Jose Sa","WOL","G","Claim","vu","","","Sat Mar 23, 2024, 7:28AM","30"
"Djordje Petrovic","CHE","G","Drop","vu","","","Sat Mar 23, 2024, 7:28AM","30"
"Sasa Lukic","FUL","M","Claim","mg","1","1/99","Fri Mar 22, 2024, 11:53PM","30"
"Chiedozie Ogbene","LUT","F","Drop","mg","","","Fri Mar 22, 2024, 11:53PM","30"
"Jamaal Lascelles","NEW","D","Claim","mg","1","1/99","Wed Mar 20, 2024, 11:54AM","30"
"John McGinn","AVL","M","Drop","mg","","","Wed Mar 20, 2024, 11:54AM","30"
"John McGinn","AVL","M","Claim","mg","2","1/99","Tue Mar 19, 2024, 7:00AM","30"
"Calvin Bassey","FUL","D","Claim","mg","1","1/99","Tue Mar 19, 2024, 7:00AM","30"
"Marcos Senesi","BOU","D","Claim","tj","","","Sun Mar 17, 2024, 6:16PM","30"
"Joao Gomes","WOL","M","Claim","tj","","","Sun Mar 17, 2024, 6:14PM","30"
"Caoimhin Kelleher","LIV","G","Claim","tj","","","Sun Mar 17, 2024, 6:13PM","30"
"Thomas Kaminski","LUT","G","Drop","tj","","","Sun Mar 17, 2024, 6:13PM","30"
"Mykhailo Mudryk","CHE","M","Claim","vu","","","Sun Mar 17, 2024, 3:03PM","30"
"Axel Disasi","CHE","D","Claim","katabe","","","Sun Mar 17, 2024, 12:42PM","30"
"Mario Lemina","WOL","M","Claim","katabe","","","Sun Mar 17, 2024, 12:41PM","30"
"John McGinn","AVL","M","Drop","katabe","","","Sun Mar 17, 2024, 12:40PM","30"
"Kieran Tierney","ARS","D","Claim","vu","","","Sun Mar 17, 2024, 9:26AM","30"
"Youri Tielemans","AVL","M","Drop","vu","","","Sun Mar 17, 2024, 9:25AM","30"
"Kristoffer Ajer","BRF","D","Drop","vu","","","Sun Mar 17, 2024, 9:24AM","30"
"Djordje Petrovic","CHE","G","Claim","vu","","","Sun Mar 17, 2024, 9:12AM","30"
"Arijanet Muric","BUR","G","Drop","vu","","","Sun Mar 17, 2024, 9:12AM","30"
"Reece James","CHE","D","Claim","vu","","","Sun Mar 17, 2024, 9:11AM","30"
"Radu Dragusin","TOT","D","Drop","vu","","","Sun Mar 17, 2024, 9:11AM","30"
"Kyle Walker","MCI","D","Claim","sean","","","Sun Mar 17, 2024, 8:57AM","30"
"Christian Norgaard","BRF","M","Drop","sean","","","Sun Mar 17, 2024, 8:57AM","30"
"Ryan Christie","BOU","M","Claim","sean","","","Sun Mar 17, 2024, 8:55AM","30"
"Edson Alvarez","WHU","M","Drop","sean","","","Sun Mar 17, 2024, 8:54AM","30"
"Jan-Paul van Hecke","BHA","D","Claim","sean","","","Sun Mar 17, 2024, 8:51AM","30"
"Alex Moreno","AVL","D","Drop","sean","","","Sun Mar 17, 2024, 8:50AM","30"
"Tyrick Mitchell","CRY","D","Claim","sean","","","Sun Mar 17, 2024, 8:48AM","30"
"Abdoulaye Doucoure","EVE","M","Claim","sean","","","Sun Mar 17, 2024, 8:48AM","30"
"Nelson Semedo","WOL","D","Claim","sean","","","Sun Mar 17, 2024, 8:47AM","30"
"Nayef Aguerd","WHU","D","Drop","sean","","","Sun Mar 17, 2024, 8:47AM","30"
"Tahith Chong","LUT","M","Drop","mg","","","Sun Mar 17, 2024, 8:06AM","30"
"Rayan Ait-Nouri","WOL","D","Claim","mg","1","1/99","Sun Mar 17, 2024, 8:05AM","30"
"Enzo Fernandez","CHE","M","Claim","mg","1","1/99","Sun Mar 17, 2024, 8:05AM","30"
"Neto","BOU","G","Claim","md","","","Sun Mar 17, 2024, 6:39AM","29"
"Pedro Neto","WOL","F","Drop","md","","","Sun Mar 17, 2024, 6:39AM","29"
"Divock Origi","LIV/NOT","F","Drop","katabe","","","Sat Mar 16, 2024, 2:09PM","30"
"Neal Maupay","EVE/BRF","F","Drop","katabe","","","Sat Mar 16, 2024, 2:08PM","30"
"Vitaly Janelt","BRF","M","Drop","katabe","","","Sat Mar 16, 2024, 2:08PM","30"
